County Name|County GEOID|Neighbor Name|Neighbor GEOID|Length
Autauga County, AL|01001|Chilton County, AL|01021|52283
Autauga County, AL|01001|Dallas County, AL|01047|51498
Autauga County, AL|01001|Elmore County, AL|01051|32991
Autauga County, AL|01001|Lowndes County, AL|01085|59160
Autauga County, AL|01001|Montgomery County, AL|01101|14548
Baldwin County, AL|01003|Clarke County, AL|01025|47669
Baldwin County, AL|01003|Escambia County, AL|01053|29024
Baldwin County, AL|01003|Mobile County, AL|01097|136493
Baldwin County, AL|01003|Monroe County, AL|01099|21395
Baldwin County, AL|01003|Washington County, AL|01129|6682
Baldwin County, AL|01003|Escambia County, FL|12033|146204
Barbour County, AL|01005|Bullock County, AL|01011|51627
Barbour County, AL|01005|Dale County, AL|01045|31495
Barbour County, AL|01005|Henry County, AL|01067|45573
Barbour County, AL|01005|Pike County, AL|01109|50265
Barbour County, AL|01005|Russell County, AL|01113|50173
Barbour County, AL|01005|Clay County, GA|13061|2704
Barbour County, AL|01005|Quitman County, GA|13239|30741
Barbour County, AL|01005|Stewart County, GA|13259|9617
Bibb County, AL|01007|Chilton County, AL|01021|37504
Bibb County, AL|01007|Hale County, AL|01065|14298
Bibb County, AL|01007|Jefferson County, AL|01073|3625
Bibb County, AL|01007|Perry County, AL|01105|42507
Bibb County, AL|01007|Shelby County, AL|01117|36155
Bibb County, AL|01007|Tuscaloosa County, AL|01125|56779
Blount County, AL|01009|Cullman County, AL|01043|107264
Blount County, AL|01009|Etowah County, AL|01055|25437
Blount County, AL|01009|Jefferson County, AL|01073|39912
Blount County, AL|01009|Marshall County, AL|01095|23235
Blount County, AL|01009|St. Clair County, AL|01115|40975
Blount County, AL|01009|Walker County, AL|01127|5564
Bullock County, AL|01011|Barbour County, AL|01005|51627
Bullock County, AL|01011|Macon County, AL|01087|60637
Bullock County, AL|01011|Montgomery County, AL|01101|32094
Bullock County, AL|01011|Pike County, AL|01109|54957
Bullock County, AL|01011|Russell County, AL|01113|11407
Butler County, AL|01013|Conecuh County, AL|01035|45134
Butler County, AL|01013|Covington County, AL|01039|19248
Butler County, AL|01013|Crenshaw County, AL|01041|56772
Butler County, AL|01013|Lowndes County, AL|01085|38728
Butler County, AL|01013|Monroe County, AL|01099|8604
Butler County, AL|01013|Wilcox County, AL|01131|19396
Calhoun County, AL|01015|Cherokee County, AL|01019|21033
Calhoun County, AL|01015|Cleburne County, AL|01029|76954
Calhoun County, AL|01015|Etowah County, AL|01055|50595
Calhoun County, AL|01015|St. Clair County, AL|01115|26472
Calhoun County, AL|01015|Talladega County, AL|01121|43984
Chambers County, AL|01017|Lee County, AL|01081|51018
Chambers County, AL|01017|Randolph County, AL|01111|33683
Chambers County, AL|01017|Tallapoosa County, AL|01123|42038
Chambers County, AL|01017|Harris County, GA|13145|21386
Chambers County, AL|01017|Troup County, GA|13285|26779
Cherokee County, AL|01019|Calhoun County, AL|01015|21033
Cherokee County, AL|01019|Cleburne County, AL|01029|14463
